attribute,mean,max,min
maccs_k089,0.38270893371757925,1.0,0.0
pattern_c334,0.016138328530259365,1.0,0.0
maccs_k111,0.33429394812680113,1.0,0.0
carboxyl,0.21902017291066284,1.0,0.0
pubchem_f533,0.04956772334293948,1.0,0.0
pattern_c58,0.21440922190201728,1.0,0.0
nAromBond,0.0755043227665706,22.0,0.0
pattern_c224,0.0011527377521613833,1.0,0.0
pubchem_f530,0.009798270893371758,1.0,0.0
pattern_c59,0.22074927953890489,1.0,0.0
pubchem_f346,0.4161383285302594,1.0,0.0
pubchem_f477,0.20288184438040346,1.0,0.0
pattern_c95,0.10028818443804034,1.0,0.0
maccs_k106,0.17348703170028817,1.0,0.0
maccs_k064,0.03227665706051873,1.0,0.0
phenol ether,0.06974063400576369,1.0,0.0
pubchem_f610,0.013256484149855908,1.0,0.0
pattern_c222,0.004610951008645533,1.0,0.0
pubchem_f214,0.03688760806916427,1.0,0.0
pattern_c51,0.22247838616714696,1.0,0.0
pattern_c53,0.22247838616714696,1.0,0.0
maccs_k062,0.15734870317002883,1.0,0.0
pubchem_f532,0.05590778097982709,1.0,0.0
alpha_beta-unsaturated_system,0.1319884726224784,1.0,0.0
pattern_c247,0.02478386167146974,1.0,0.0
maccs_k023,0.01037463976945245,1.0,0.0
pattern_c307,0.01037463976945245,1.0,0.0
pubchem_f499,0.261671469740634,1.0,0.0
pattern_c21,0.06628242074927954,1.0,0.0
pubchem_f384,0.05648414985590778,1.0,0.0
pubchem_f421,0.6662824207492796,1.0,0.0
pattern_c91,0.10317002881844381,1.0,0.0
pubchem_f003,0.6853025936599424,1.0,0.0
maccs_k155,0.8518731988472622,1.0,0.0
pubchem_f822,0.09798270893371758,1.0,0.0
pubchem_f151,0.11988472622478386,1.0,0.0
pattern_c163,0.05244956772334294,1.0,0.0
pubchem_f389,0.029394812680115272,1.0,0.0
ketone,0.1665706051873199,1.0,0.0
pubchem_f727,0.002881844380403458,1.0,0.0
pubchem_f790,0.002881844380403458,1.0,0.0
pattern_c92,0.1100864553314121,1.0,0.0
pattern_c10,0.14755043227665707,1.0,0.0
filter_bridged_rings_65_heterocyclic,0.05302593659942363,1.0,0.0
maccs_322_127,0.5959654178674352,1.0,0.0
pubchem_f567,0.21037463976945245,1.0,0.0
pattern_c203,0.005187319884726225,1.0,0.0
filter_fused_rings_65_heterocyclic,0.2524495677233429,1.0,0.0
pubchem_f756,0.07838616714697406,1.0,0.0
primary_amino_azaheterocycle,0.02824207492795389,1.0,0.0
pubchem_f774,0.008069164265129682,1.0,0.0
pubchem_f186,0.5331412103746398,1.0,0.0
maccs_k081,0.1170028818443804,1.0,0.0
maccs_322_007,0.7262247838616714,1.0,0.0
pubchem_f453,0.385014409221902,1.0,0.0
pubchem_f841,0.06109510086455332,1.0,0.0
pattern_c37,0.5302593659942363,1.0,0.0
pubchem_f210,0.027089337175792507,1.0,0.0
pattern_c94,0.04956772334293948,1.0,0.0
maccs_k154,0.659942363112392,1.0,0.0
pubchem_f690,0.6057636887608069,1.0,0.0
pattern_c115,0.1250720461095101,1.0,0.0
maccs_k147,0.6051873198847262,1.0,0.0
maccs_k096,0.4051873198847262,1.0,0.0
pubchem_f144,0.4051873198847262,1.0,0.0
ring_of_size5,0.4051873198847262,1.0,0.0
pattern_c90,0.11873198847262248,1.0,0.0
maccs_k118,0.6046109510086455,1.0,0.0
maccs_k133,0.17752161383285303,1.0,0.0
pubchem_f837,0.008645533141210375,1.0,0.0
maccs_322_257,0.5827089337175793,1.0,0.0
pubchem_f772,0.005763688760806916,1.0,0.0
pubchem_f835,0.005763688760806916,1.0,0.0
organophosphate,0.025360230547550433,1.0,0.0
maccs_322_031,0.012103746397694525,1.0,0.0
pattern_c140,0.019596541786743516,1.0,0.0
pubchem_f862,0.05821325648414986,1.0,0.0
pubchem_f759,0.08703170028818444,1.0,0.0
filter_fused_rings_67_heterocyclic,0.0414985590778098,1.0,0.0
maccs_322_008,0.9181556195965418,1.0,0.0
maccs_k145,0.5389048991354467,1.0,0.0
r5_1ht_sat,0.11239193083573487,1.0,0.0
pubchem_f577,0.1319884726224784,1.0,0.0
2-N-linked ribose deriv.,0.02478386167146974,1.0,0.0
maccs_k052,0.04207492795389049,1.0,0.0
pubchem_f301,0.04207492795389049,1.0,0.0
maccs_k034,0.069164265129683,1.0,0.0
pattern_c238,0.037463976945244955,1.0,0.0
purine,0.02420749279538905,1.0,0.0
pattern_c209,0.00345821325648415,1.0,0.0
pubchem_f670,0.00345821325648415,1.0,0.0
benzo-14-diazepine,0.00345821325648415,1.0,0.0
vinylogous-halide,0.00345821325648415,1.0,0.0
pubchem_f373,0.0829971181556196,1.0,0.0
terminal_cc_bond,0.0685878962536023,1.0,0.0
maccs_k124,0.15100864553314122,1.0,0.0
